ita_id;id_ras_activity_data;ita_t;ita_micro;ita_mili ;ita_x;ita_y;ita_z;ita_is_calibration_data
18048590;3799;1,69564E+12;16778972;2177;0.35;0.75;-9.99665;false
18049277;3799;1,69564E+12;235564758;2183;0.040086932;0.07339624;0.07220146;true
18049278;3799;1,69564E+12;235581425;2200;0.034565654;-0.00722056;0.108008236;true
18049279;3799;1,69564E+12;235598092;2216;0.07663321;-0.024620475;0.1231851;true
18049280;3799;1,69564E+12;235614759;2233;-0.04158823;-0.007077187;0.12104436;true
18049281;3799;1,69564E+12;235631426;2250;-0.006415559;0.0037330464;0.104503;true
18049282;3799;1,69564E+12;235648093;2266;0.0051559955;-0.0018229667;0.11284922;true
18049283;3799;1,69564E+12;235664760;2283;-0.021575565;-0.04989446;0.06919609;true
18049284;3799;1,69564E+12;235681427;2300;0.07854606;-0.060093142;0.09430088;true
18049285;3799;1,69564E+12;235698094;2316;-0.016550116;-0.086950965;0.05013782;true
18049286;3799;1,69564E+12;235714761;2333;0.07856037;-0.036809593;0.08247928;true
18049287;3799;1,69564E+12;235731428;2350;0.048276134;-0.06721409;0.048361767;true
18049288;3799;1,69564E+12;235748095;2366;0.040717658;-0.07988013;0.050188564;true
18049289;3799;1,69564E+12;235764762;2383;0.024140352;-0.12703072;0.07552972;true
18049290;3799;1,69564E+12;235781429;2400;0.09376667;-0.056932975;0.11073705;true
18049291;3799;1,69564E+12;235798096;2416;0.068547174;-0.037209254;0.062595785;true
18049292;3799;1,69564E+12;235814763;2433;0.15319966;0.03843349;0.055071592;true
18049293;3799;1,69564E+12;235831430;2450;0.07929198;-0.04445758;0.041367143;true
18049294;3799;1,69564E+12;235848097;2466;0.06328387;-0.12024225;0.05897862;true
18049295;3799;1,69564E+12;235864764;2483;0.031777255;-0.11040153;0.073476374;true
18049296;3799;1,69564E+12;235881431;2500;0.027653974;-0.05477471;0.111935064;true
18049297;3799;1,69564E+12;235898098;2516;-0.033353843;-0.017590603;0.09965015;true
18049298;3799;1,69564E+12;235914765;2533;-0.022858249;0.0022581941;0.117420085;true
